id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
1,Bitcoin,BTC,bitcoin,12198,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19871137.0,19871137.0,False,,1,,,,2025-05-28T18:38:00.000Z,107551.24075632334,47328552394.77235,-15.4871,0.09099661,-2.38691818,0.60940728,14.35579638,30.27468654,27.14673458,2137165439588.8848,62.9165,2258576055882.79,,2025-05-28T18:38:00.000Z
1027,Ethereum,ETH,ethereum,10316,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120725247.07261096,120725247.07261096,True,,2,,,,2025-05-28T18:37:00.000Z,2645.5645443349426,18576117836.57413,-24.8392,-0.08889756,-1.47078358,6.52276857,49.48950057,45.09392692,13.86422657,319386433261.37537,9.4025,319386433261.38,,2025-05-28T18:37:00.000Z
825,Tether USDt,USDT,tether,130031,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,152913418919.93286,156004270711.01822,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2025-05-28T18:37:00.000Z,1.000062002651938,75495000809.86731,-10.7134,-0.01733749,-0.02235579,-0.03528601,-0.03366731,0.04038335,0.13267741,152922899957.4228,4.5019,156013943389.52,,2025-05-28T18:37:00.000Z
52,XRP,XRP,xrp,1617,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58686007292.0,99986107098.0,False,,4,,,,2025-05-28T18:38:00.000Z,2.2533628914625448,2216428401.0819335,-3.4784,0.31147827,-3.6122153,-4.5015502,-0.79211414,5.94461577,1.5836051,132240871079.89311,3.8931,225336289146.25,,2025-05-28T18:38:00.000Z
1839,BNB,BNB,bnb,2553,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140887879.16,140887879.16,False,,5,,,,2025-05-28T18:38:00.000Z,687.2976168884317,1761508772.2878616,-9.7877,0.28191518,-0.28971604,2.89135494,14.20897722,14.05088051,13.11407982,96831903595.13333,2.8507,96831903595.13,,2025-05-28T18:38:00.000Z
5426,Solana,SOL,solana,927,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,520525622.5670327,601827606.705092,True,,6,,,,2025-05-28T18:37:00.000Z,170.66574838363704,3450625197.068962,-3.2888,-0.05375027,-4.42503339,1.59676771,16.42031707,36.03634034,22.83581363,88835894928.26122,2.6153,102711358896.26,,2025-05-28T18:37:00.000Z
3408,USDC,USDC,usd-coin,28296,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61367174042.10279,61367174042.10279,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",7,,,,2025-05-28T18:38:00.000Z,0.9996779529282209,10362388065.973413,-13.8442,-0.01478646,0.00793865,-0.00296008,-0.03176527,-0.0517933,-0.01077254,61347410923.39918,1.806,61347410923.4,,2025-05-28T18:38:00.000Z
74,Dogecoin,DOGE,dogecoin,1229,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149453416383.7052,149453416383.7052,True,,8,,,,2025-05-28T18:38:00.000Z,0.21926807141490529,1199234797.356601,-10.6381,-0.07502079,-3.96994141,-3.27912459,24.79655615,29.7069724,5.0190102,32770362376.82385,0.9647,32770362376.82,,2025-05-28T18:38:00.000Z
2010,Cardano,ADA,cardano,1524,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35334514487.46726,44994495302.31451,False,,9,,,,2025-05-28T18:38:00.000Z,0.7447937060288952,581812721.1792865,-14.3346,-0.25929871,-2.89683777,-1.14139469,6.82600008,11.044537,13.68092797,26316923995.85243,0.7748,33515716771.3,,2025-05-28T18:38:00.000Z
1958,TRON,TRX,tron,1181,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94870911795.38828,94870921847.33032,True,,10,,,,2025-05-28T18:38:00.000Z,0.27502852937728195,505575022.65743786,-13.6582,-0.0705209,0.03229387,3.24731113,11.34597882,17.32622991,20.416217,26092207351.767467,0.7681,26092210116.34,,2025-05-28T18:38:00.000Z
