id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
1,Bitcoin,BTC,bitcoin,12204,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19872075.0,19872075.0,False,,1,,,,2025-05-30T13:24:00.000Z,105460.18822574863,61607507931.47024,17.4291,0.05391543,-2.60206968,-3.08113442,11.70463096,27.89387344,24.88784725,2095712769936.1936,63.0732,2214663952740.72,,2025-05-30T13:24:00.000Z
1027,Ethereum,ETH,ethereum,10322,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120724433.40532085,120724433.40532085,True,,2,,,,2025-05-30T13:23:00.000Z,2597.3068077397356,23488311312.176155,-10.6136,0.06550692,-3.18663442,1.38776829,46.98115859,42.28915988,20.58377541,313558392744.16223,9.4369,313558392744.16,,2025-05-30T13:23:00.000Z
825,Tether USDt,USDT,tether,131113,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,153083661570.68707,156004090109.20752,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2025-05-30T13:24:00.000Z,1.000177827798238,100382173874.7123,15.7986,-0.01031329,-0.01161751,0.01250759,-0.01013103,0.01380185,0.05096967,153110884101.1704,4.6081,156031831973.07,,2025-05-30T13:24:00.000Z
52,XRP,XRP,xrp,1620,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58686007292.0,99986107098.0,False,,4,,,,2025-05-30T13:24:00.000Z,2.1889265936387017,3566031489.908413,32.3435,-0.10165545,-4.89617309,-6.97568081,0.68391085,4.7053757,1.82010075,128459362035.93356,3.8661,218892659363.87,,2025-05-30T13:24:00.000Z
1839,BNB,BNB,bnb,2558,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140887742.19,140887742.19,False,,5,,,,2025-05-30T13:24:00.000Z,670.9786325528678,1986987319.8049624,5.5187,0.22588727,-2.00899363,0.50312327,12.32556191,11.97278871,12.65855398,94532664598.10718,2.8451,94532664598.11,,2025-05-30T13:24:00.000Z
5426,Solana,SOL,solana,929,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,520645612.9622176,601974369.7233486,True,,6,,,,2025-05-30T13:24:00.000Z,162.0026276839388,4187525986.1120477,15.7972,-0.27284553,-5.63377743,-8.72047209,13.56567171,29.02934342,16.08671565,84345957391.99425,2.5385,97521429693.57,,2025-05-30T13:24:00.000Z
3408,USDC,USDC,usd-coin,28364,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61071202640.532845,61071202640.532845,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",7,,,,2025-05-30T13:24:00.000Z,0.9998646500037146,14221667200.88416,22.563,-0.01777256,-0.00063441,0.01515354,-0.00417995,-0.02024754,-0.00932327,61062936653.48231,1.8378,61062936653.48,,2025-05-30T13:24:00.000Z
74,Dogecoin,DOGE,dogecoin,1232,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149477806383.70526,149477806383.70526,True,,8,,,,2025-05-30T13:24:00.000Z,0.20350285172609894,2167364156.2229896,53.8015,0.03061768,-8.90307212,-12.71196917,18.88252489,23.74644477,1.09303184,30419159868.8457,0.9155,30419159868.85,,2025-05-30T13:24:00.000Z
1958,TRON,TRX,tron,1183,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94867440253.5118,94867457329.91954,True,,9,,,,2025-05-30T13:24:00.000Z,0.272500553417336,704743136.4312109,19.5643,0.35831103,-2.02488507,2.2789481,11.219819,16.43969904,17.90435723,25851429970.36802,0.778,25851434623.7,,2025-05-30T13:24:00.000Z
2010,Cardano,ADA,cardano,1526,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35337743183.176506,44994501828.18774,False,,10,,,,2025-05-30T13:23:00.000Z,0.7045469543823247,975799917.1149007,45.011,0.06547078,-6.09696057,-8.92699616,3.54399964,8.972583,11.59749893,24897099334.451763,0.7493,31704612947.2,,2025-05-30T13:23:00.000Z
